id;nom;type_filtre_1;gb_type_filtre_1;themes_tags_filtre_2;gb_themes_tags_filtre_2;filiere_filtre_3;filiere_picto;numfil;gb_sector_filtre_3;esr_filtre_4;departement;hebergeur;adresse;cp;ville;label_innov_up_incubation_2023;gb_label_innov_up;liens_avec_etablissement_esr;gb_linked_with_higher_education_and_research_institutions;accueil_d_entreprises_etrangeres;gb_foreign_business_accommodation;w3;raison_sociale;siret;incubateur;accelerateur;date_mise_a_jour;adresse_complete;coordxy;nombre_de_themes_tags;theme_1_popin;theme_2_popin;theme_3_popin;theme_4_popin;theme_5_popin;gb_theme_1_popin;gb_theme_2_popin;gb_theme_3_popin;gb_theme_4_popin;gb_theme_5_popin
74;La Turbine - Maubuisson;Incubateur;Incubator;Industries Culturelles & Créatives;Cultural / Creative;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;95.0;Abbaye de Maubuisson;avenue Richard de Tour;95310.0;Saint-Ouen l'Aumône;Oui;Yes;;;;;https://laturbine-cergypontoise.fr/;Communauté d'Agglomération de Cergy-Pontoise;;oui;non;2023_06_14;Abbaye de Maubuisson avenue Richard de Tour;49.046876,2.112248;1.0;Industries Culturelles & Créatives;;;;;Cultural / Creative;;;;
80;Look Forward by Showroomprivé;Incubateur;Incubator;"Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce";"Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;93.0;;1 rue des Blés;93200.0;Saint-Denis;Non;No;;;;;https://www.lookforwardproject.com/;SHOWROOMPRIVE COM;53881183700011;oui;non;2023_06_14;1 rue des Blés;48.942001,2.375133;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce;;;;Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce;;;
124;WAI by BNP PARIBAS;Accélérateur;Accelerator;"Impact environnemental, Durabilité, économie circulaire;Energie renouvelable;Tourisme / Ville intelligente / PropTech;Immobilier / Construction";"Environmental impact / Sustainability / Circular economy;Energy / Renewables;Tourism / Smart City / Proptech;Real Estate / Construction";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;19 bd Poissonnière;75002.0;Paris;Non;No;;;oui;yes;https://banqueentreprise.bnpparibas/soyez-la-prochaine-greentech-a-rejoindre-le-wai-cl5cgx22600050s4eg0vg6njs;BNP Paribas;;non;oui;2023_06_14;19 bd Poissonnière;48.869467,2.347693;4.0;Impact environnemental, Durabilité, économie circulaire;Energie renouvelable;Toursime / Ville intelligente / PropTech;Immobilier / Construction;;Environmental impact / Sustainability / Circular economy;Energy / Renewables;Tourism / Smart City / Proptech;Real Estate / Construction;
126;WILLA;Incubateur, Accélérateur;Incubator, Accelerator;Femmes / FemTech;Women / FemTech;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;35 rue du Sentier;75002.0;Paris;Oui;Yes;;;;;https://hellowilla.co/;Incubateur au féminin;45274028500047;oui;oui;2023_06_14;35 rue du Sentier;48.869889,2.34617;1.0;Femmes / FemTech;;;;;Women / FemTech;;;;
136;Microsoft Environmental Start-up Accelerator @ STATION F;Accélérateur;Accelerator;Impact environnemental, Durabilité, économie circulaire;Environmental impact / Sustainability / Circular economy;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Non;No;;;;;https://news.microsoft.com/fr-fr/2021/11/10/environmental-start-up-accelerator-europeen-station-f/;Microsoft;;non;oui;2023_06_14;Station F 5 parvis Alan Turing;48.834508,2.370634;1.0;Impact environnemental, Durabilité, économie circulaire;;;;;Environmental impact / Sustainability / Circular economy;;;;
146;Innest, accélérateur de l'Ordre des experts-comptables Paris Ile-de-France;Accélérateur;Accelerator;Développement de logiciels / Service Cloud / Big data (ou données de masse);Software development / Cloud services / Big data;1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;;50 rue de Londres;75008.0;Paris;Non;No;;;;;https://www.innest.fr;;88242824600012;non;oui;2023_06_14;50 rue de Londres;48.878327,2.325728;1.0;Développement de logiciels / Service Cloud / Big data (ou données de masse);;;;;Software development / Cloud services / Big data;;;;
153;Incubateur IX Campus;Incubateur;Incubator;"Deeptech;Aéronautique - Spatial - Défense;Industrie / Logistique;Impact environnemental, Durabilité, économie circulaire";"Deeptech;Aeronautics / Space / Defense;Industry / Logistic;Environmental impact / Sustainability / Circular economy";7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Oui;78.0;;34 rue de la Croix de Fer;78100.0;Saint-Germain-en-Laye;Non;No;CY Université;CY University;;;https://ixcampus.eu/incubateur/;IXCAMPUS;;oui;non;2023_06_14;34 rue de la Croix de Fer;48.898981,2.067891;4.0;Deeptech;Aéronautique - Spatial - Défense;Industrie / Logistique;Impact environnemental, Durabilité, économie circulaire;;Deeptech;Aeronautics / Space / Defense;Industry / Logistic;Environmental impact / Sustainability / Circular economy;
158;INCOPLEX 91;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;91.0;;30 avenue Carnot;91300.0;Massy;Oui;Yes;;;;;https://inco-group.co/;;;oui;non;2023_06_14;30 avenue Carnot;48.728599,2.264861;;;;;;;;;;;
160;La Fabrique 621;Incubateur;Incubator;"Luxe / Beauté / Cosmétique / Mode / Textile;Impact environnemental, Durabilité, économie circulaire";"Luxury / Beauty / Cosmetic / Fashion / Textile;Environmental impact / Sustainability / Circular economy";5. Luxe et cosmétique;5_luxur.jpg;5;5. Luxury & Cosmetics;Non;93.0;;32 avenue Henri Varagnat;93140.0;Bondy;Oui;Yes;;;;;https://lafabrique621.com/;LA FABRIQUE 621;83471348900021;oui;non;2023_06_14;32 avenue Henri Varagnat;48.914385,2.485586;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Impact environnemental, Durabilité, économie circulaire;;;;Luxury / Beauty / Cosmetic / Fashion / Textile;Environmental impact / Sustainability / Circular economy;;;
164;CCI Paris;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;2 place de la Bourse;75002.0;Paris;Non;No;;;;;https://www.cci-paris-idf.fr/fr#1;;;oui;non;2023_06_14;2 place de la Bourse;48.869579,2.342114;;;;;;;;;;;
180;PARIS-SAXLAY HARDWARE ACCELERATOR;Accélérateur;Accelerator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;91.0;;26 rue Léon Chartier;91160.0;Saulx-les-Chartreux;Non;No;;;;;https://psha.fr/;;;non;oui;2023_06_14;26 rue Léon Chartier;48.688379,2.273993;;;;;;;;;;;
200;Platform58;Incubateur;Incubator;Deeptech;Deeptech;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;75.0;;58 rue de la Victoire;75009.0;Paris;Non;No;;;;;https://www.platform58.fr/incubateur;;;oui;non;2023_06_14;58 rue de la Victoire;48.87529,2.334175;;;;;;;;;;;
2;21 l'Accélérateur d'innovation sociale de la Croix Rouge française;Incubateur;Incubator;"Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Sport / Handicap / Bien-Etre;Impact social / Solidarité";"Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Sport / Autonomy / Handicap / Well-being;Social impact / Solidarity";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;21 rue de la Vanne;92120.0;Montrouge;Non;No;;;oui;yes;https://21-croix-rouge.fr/;Croix-Rouge Nexem Innovation;84532341900018;oui;non;2023_06_14;21 rue de la Vanne;48.815879,2.328678;3.0;Sciences de la vie, Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Sport / Handicap / Bien-Etre;Impact social / Solidarité / Refugiés;;;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Sport / Autonomy / Handicap / Well-being;Social impact / Solidarity;;
3;21st By CentraleSupélec;Incubateur;Incubator;"FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Industrie / Logistique";"FoodTech / Agritech / Agrotech;Environmental impact / sustainability / circular economy;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Industry / Logistic";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;91.0;Plateau du Moulon;3 rue Joliot Curie;91190.0;Gif-sur-Yvette;Oui;Yes;CentraleSupelec - Université Paris Saclay;CentraleSupelec - Paris Saclay University;oui;yes;https://21st.centralesupelec.com/;CENTRALESUPELEC;13002076100016;oui;non;2023_06_14;Plateau du Moulon 3 rue Joliot Curie;48.709629,2.170077;4.0;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Industrie / Logistique;;FoodTech / Agritech / Agrotech;Environmental impact / sustainability / circular economy;Lifesciences / Health, Biotech / MedTech / eHealth / Healthcare;Industry / Logistic;
6;50 Partners;Incubateur, Accélérateur;Incubator, Accelerator;"Deeptech;Impact environnemental, Durabilité, économie circulaire;Développement de logiciels / Service Cloud / Big data (ou données de masse);Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins";"Deeptech;Environmental impact / sustainability / circular economy;Software development / Cloud services / Big data;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;62 rue Jean-Jacques Rousseau;75001.0;Paris;Non;No;;;oui;yes;https://www.50partners.fr/;;75302014800023;oui;oui;2023_06_14;62 rue Jean-Jacques Rousseau;48.864088,2.343744;4.0;Deeptech;Impact environnemental, Durabilité, économie circulaire;Développement de logiciels / Service Cloud / Big data (ou données de masse);Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;Deeptech;Environmental impact / sustainability / circular economy;Software development / Cloud services / Big data;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;
17;Circular Challenge CITEO;Accélérateur;Accelerator;Impact environnemental, Durabilité, économie circulaire;Environmental impact / Sustainability / Circular economy;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Non;75.0;;95 rue de Provence;75009.0;Paris;Non;No;;;;;https://circular-challenge-citeo.com/fr;;;non;oui;2023_06_14;95 rue de Provence;48.87415,2.33062;1.0;Impact environnemental, Durabilité, économie circulaire;;;;;Environmental impact / Sustainability / Circular economy;;;;
19;Commune Image;Incubateur;Incubator;"Industries Culturelles & Créatives;AR /VR , Réalité augmentée / réalité Virtuelle, Jeu vidéo";"Cultural / Creative;AR / VR / Gaming";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;93.0;;8 rue Godillot;93400.0;Saint-Ouen-sur-Seine;Non;No;;;oui;yes;https://communeimage.com/;;;oui;non;2023_06_14;8 rue Godillot;48.909036,2.340334;2.0;Industries Culturelles & Créatives;AR /VR , Réalité augmentée / réalité Virtuelle, Jeu vidéo;;;;Cultural / Creative;AR / VR / Gaming;;;
29;ElastoLAB;Incubateur;Incubator;Chimie / Matériaux;Chemistry / Materials;2. Eco-construction, ville durable et intelligente, Energies vertes et décarbonnées;2_green.jpg;2;2. Eco-Construction, Smart City, Green Energy & free-carbon energy;Oui;94.0;;60 rue Auber;94400.0;Vitry-sur-Seine;Non;No;CFCP;CFCP;oui;yes;https://www.elastolab.fr/;Centre Français des Caoutchoucs et Polymères;34334067500010;oui;non;2023_06_14;60 rue Auber;48.802648,2.37457;1.0;Chimie / Matériaux;;;;;Chemistery / Materials;;;;
36;French ioT Impact x Technologie (Groupe la Poste);Incubateur;Incubator;"Tourisme / Ville intelligente / PropTech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Gouvernement / Institutions Publiques;Impact social / Solidarité";"Tourism / Smart City / Proptech;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Government / Public institutions;Social impact / Solidarity";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;94.0;;45-47 boulevard Paul Vaillant Couturier;94200.0;Ivry-sur-Seine;Non;No;;;oui;yes;https://concours-french-iot.laposte.fr/;;;oui;non;2023_06_14;45-47 boulevard Paul Vaillant Couturier;48.818505,2.397822;4.0;Toursime / Ville intelligente / PropTech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Gouvernement / Institutions Publiques;Impact social / Solidarité;;Tourism / Smart City / Proptech;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Government / Public institutions;Social impact / Solidarity;
50;Incuballiance @ Playground Paris-Saclay;Incubateur, Accélérateur;Incubator, Accelerator;Deeptech;Deeptech;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Oui;91.0;Stop & Work Le Playground Paris-Saclay;3 boulevard Thomas Gobert;91120.0;Palaiseau;Oui;Yes;Université Paris-Saclay;Paris Saclay University;;;https://www.incuballiance.fr/;;43207744400029;oui;oui;2023_06_14;Stop & Work Le Playground Paris-Saclay 3 boulevard Thomas Gobert;48.713063,2.209705;1.0;Deeptech;;;;;Deeptech;;;;
69;La Ruche Saint-Germain-en-Laye;Incubateur;Incubator;"Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité";"Environmental impact / Sustainability / Circular economy;Social impact / Solidarity";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;78.0;;7 place Christiane Frahier;78100.0;Saint-Germain-en-Laye;Non;No;;;;;https://la-ruche.net/espaces/coworking-saint-germain/;L'Académie des Ruches;50299030200056;oui;non;2023_06_14;7 place Christiane Frahier;48.902874,2.073638;2.0;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité;;;;Environmental impact / Sustainability / Circular economy;Social impact / Solidarity;;;
91;Paris&Co Finance & Assurance;Incubateur;Incubator;Services Financiers , Assurance;Fintech / Insurtech;7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;92.0;;1 parvis de la Défense;92800.0;Puteaux / Paris La Défense;Non;No;;;oui;yes;https://swave.parisandco.com/;;;oui;non;2023_06_14;1 parvis de la Défense;48.891676,2.241092;1.0;Services Financiers , Assurance;;;;;Fintech / Insurtech;;;;
103;Plant 4.0 Startup Incubator;Incubateur;Incubator;"Développement de logiciels / Service Cloud / Big data (ou données de masse);Impact environnemental, Durabilité, économie circulaire;Energie renouvelable";"Software development / Cloud services / Big data;Environmental impact / Sustainability / Circular economy;Energy / Renewables";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;130 rue de Lourmel;75015.0;Paris;Non;No;;;oui;yes;https://www.plant4-0-startup-incubator.com/;;;oui;non;2023_06_14;130 rue de Lourmel;48.841627,2.284948;3.0;Développement de logiciels / Service Cloud / Big data (ou données de masse);Impact environnemental, Durabilité, économie circulaire;Energie renouvelable;;;Software development / Cloud services / Big data;Environmental impact / Sustainability / Circular economy;Energy / Renewables;;
107;Prevent2careLab;Accélérateur;Accelerator;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;4. Santé et soins;4_healt.jpg;4;4. Health & HealthCare;Non;75.0;;3 boulevard Saint Martin;75003.0;Paris;Non;No;;;;;https://www.prevent2carelab.co/;;;non;oui;2023_06_14;3 boulevard Saint Martin;48.867894,2.361668;1.0;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;;;;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;;;;
112;Centre pour l’Entrepreneuriat de Sciences Po;Incubateur;Incubator;"Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;Tourisme / Ville intelligente / PropTech;Etudiant";"Social impact / Solidarity;Environmental impact / Sustainability / Circular economy;Tourism / Smart City / Proptech;Student";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;;1 place St Thomas d'Aquin;75007.0;Paris;Non;No;Sciences Po;Sciences Po;;;https://www.sciencespo.fr/entrepreneurs/index.html;Fondation Nationale des Sciences Politiques;;oui;non;2023_06_14;1 place St Thomas d'Aquin;48.856099,2.327577;4.0;Impact social / Solidarité;Impact environnemental, Durabilité, économie circulaire;Toursime / Ville intelligente / PropTech;Etudiant;;Social impact / Solidarity;Environmental impact / Sustainability / Circular economy;Tourism / Smart City / Proptech;Student;
118;Starburst France;Accélérateur;Accelerator;"Deeptech;Aéronautique - Spatial - Défense";"Deeptech;Aeronautics / Space / Defense";3. Aéronautique - Spatial - Défense - Mobilité durable et intelligente (dont automobile);3_mobil.jpg;3;3. Aeronautics / Space / Defense - Smart Mobility;Non;75.0;;20 bis rue Balard;75015.0;Paris;Non;No;;;oui;yes;https://starburst.aero/;STARBURST ACCELERATOR;80523206300026;non;oui;2023_06_14;20 bis rue Balard;48.84422,2.277098;2.0;Deeptech;Aéronautique - Spatial - Défense;;;;Deeptech;Aeronautics / Space / Defense;;;
127;Drahi X Novation Center;Incubateur;Incubator;"Deeptech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Automobile, Mobilité, Mobilité partagée;Industrie / Logistique";"Deeptech;Environmental impact / Sustainability / Circular economy;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Automotive / Mobility / Shared mobility;Industry / Logistic";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;91.0;École Polytechnique;École Polytechnique, route de Saclay;91128.0;Palaiseau;Oui;Yes;Ecole Polytechnique - IPP;Ecole Polytechnique - IPP;oui;yes;https://www.polytechnique.edu/innovation;Ecole Polytechnique;19911568400011;oui;non;2023_06_14;École Polytechnique École Polytechnique, route de Saclay;48.709936,2.209673;5.0;Deeptech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Automobile, Mobilité, Mobilité partagée;Industrie / Logistique;Deeptech;Environmental impact / Sustainability / Circular economy;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Automotive / Mobility / Shared mobility;Industry / Logistic
142;Incubateur du Barreau de Paris;Incubateur;Incubator;LegalTech;Legaltech;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;92.0;;1 rue Pierre Antoine Berryer;92130.0;Issy-les-Moulineaux;Non;No;;;;;https://incubateur-ibp.com/;Ordre des Avocats de Paris;30297907500017;oui;non;2023_06_14;1 rue Pierre Antoine Berryer;48.832333,2.265965;1.0;LegalTech;;;;;Legaltech;;;;
144;Singa Paris;Incubateur;Incubator;Impact social / Solidarité;Social impact / Solidarity;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;50 rue de Montreuil;75011.0;Paris;Non;No;;;;;https://singafrance.com/nos-programmes/;Singa France;79326794900022;oui;non;2023_06_14;50 rue de Montreuil;48.850398,2.389025;1.0;Impact social / Solidarité;;;;;Social impact / Solidarity;;;;
